park,year,total_sq_kilometers,country,state_region_province,closest_city,distance_from_closest_city
Acadia,1919,199,United States,Maine,Sherbrooke,381
Arches,1971,310,United States,Utah,Provo,312
Badlands,1978,982,United States,South Dakota,Fort Collins,502
Big Bend,1944,3242,United States,Texas,Ciudad Juarez,526
Biscayne,1980,700,United States,Florida,Miami,32
Black Canyon of the Gunnison,1999,125,United States,Colorado,Colorado Springs,367
Bryce Canyon,1928,145,United States,Utah,Provo,335
Canyonlands,1964,1366,United States,Utah,Provo,322
Capitol Reef,1971,979,United States,Utah,Provo,280
Carlsbad Caverns,1930,189,United States,New Mexico,El Paso,240
Channel Islands,1980,1010,United States,California,Los Angeles,124
Congaree,2003,108,United States,South Carolina,Columbia,18
Crater Lake,1902,742,United States,Oregon,Eugene,288
Cuyahoga Valley,2000,132,United States,Ohio,Cleveland ,19
Death Valley,1994,13793,United States,California,Las Vegas,179
Denali,1917,19186,United States,Alaska,Anchorage,383
Dry Tortugas,1992,262,United States,Florida,Havana,110
Everglades,1934,6107,United States,Florida,Miami,42
Gates of the Arctic,1980,30448,United States,Alaska,Anchorage,756
Gateway Arch,2018,91,United States,Missouri,St Louis,0
Glacier,1910,4100,United States,Montana,Calgary,291
Glacier Bay,1980,13045,United States,Alaska,Anchorage,784
Grand Canyon,1919,4863,United States,Arizona,Phoenix,348
Grand Teton,1929,1255,United States,Wyoming,Salt Lake City,449
Great Basin,1986,312,United States,Nevada,Provo,315
Great Sand Dunes,2004,434,United States,Colorado,Pueblo,198
Great Smoky Mountains,1934,2114,United States,Tennessee,Knoxville,51
Guadalupe Mountains,1972,350,United States,Texas,El Paso,113
Haleakala,1961,136,United States,Hawaii,Honolulu,188
Hawaii Volcanoes,1916,1318,United States,Hawaii,Honolulu,343
Hot Springs,1921,23,United States,Arkansas,Little Rock,53
Indiana Dunes,2019,62,United States,Indiana,Chicago,48
Isle Royal,1930,2314,United States,Michigan,Thunder Bay,52
Joshua Tree,1994,3218,United States,California,San Bernadino,127
Katmai,1980,14870,United States,Alaska,Anchorage,467
