type,1930,1935,1940,1945
Outdoor playgrounds,7681,10394,9749,10022
Recreation buildings,678,1034,1666,4536
Indoor Recreation Centers,2341,5752,4123,
Play streets,,396,298,
Archery ranges,,,455,
Athletic fields,1709,1965,875,
Baseball diamonds,4024,4394,3846,
Bathing beaches,409,611,548,564
Golf courses,299,353,358,409
Handball courts,,1188,1983,
Ice skating areas,,2156,2968,
Ski jumps,,95,116,
Softball diamonds,,5964,8995,
Stadiums,81,140,244,
Summer Camps,115,136,264,342
Swimming Pools,1010,1089,1181,1447
Tennis courts,7960,10047,11617,
Toboggan slides,,243,301,
Wading pools,,1189,1545,
