city,state,year,population,total_expenditures,
Charleston ,SC,1930,84000,19593.65,
Columbia,SC,1930,65000,18000,
Florence,SC,1930,17000,6100,
Greenville ,SC,1930,35000,5315,
Orangeburg,SC,1930,10000,3206.57,
Spartanburg,SC,1930,35000,10313.14,
Sumter,SC,1930,15000,2400,
Union,SC,1930,15000,930,
Canton,SD,1930,2091,850,
Dell Rapids,SD,1930,1800,0,
Huron,SD,1930,13000,600,
Mitchell,SD,1930,12000,7000,
Mobridge,SD,1930,4500,270,
Pierre,SD,1930,4000,3000,
Rapid City,SD,1930,11500,248,
Sioux Falls,SD,1930,38000,9181.08,
Watertown,SD,1930,11000,3710.75,
Yankton,SD,1930,5500,0,
Chattanooga,TN,1930,141000,23381.23,
Barrington,RI,1930,4000,2352.71,
Bristol,RI,1930,14000,2600,
Central Falls,RI,1930,25000,25954.68,
East Providence,RI,1930,35000,4862.07,
Newport,RI,1930,30000,14579.77,
Pawtucket,RI,1930,73000,13215.75,
Providence,RI,1930,278000,154128.09,
Saylesville,RI,1930,1350,548.13,
Weserly ,RI,1930,11177,829,
Woonsocket,RI,1930,50000,18350,
Pheonixville,PA,1930,11000,7000,
Pittsburgh,PA,1930,650000,721136.48,
"Pittsburgh, North Side",PA,1930,205000,38950.92,
Pottstown,PA,1930,20000,315,
Pottsville,PA,1930,25000,367.43,
Punxsutawney,PA,1930,10315,20988.77,
Reading,PA,1930,120000,29300.8,
Red Lion,PA,1930,4500,300,
Renovo,PA,1930,5000,187.5,
Rochester,PA,1930,10000,750,
St. Marys,PA,1930,8000,1670.32,
Schuylkill Haven,PA,1930,6000,288.9,
Scranton,PA,1930,140000,63249.92,
Souderton,PA,1930,3900,1150,
Steelton,PA,1930,14000,1688.98,
Sunbury,PA,1930,18000,5027.87,
Swissvalue,PA,1930,10000,809.27,
Tamaqua,PA,1930,16000,1200,
Vandergrift,PA,1930,15000,600,
Warren,PA,1930,15000,1780.72,
Washington,PA,1930,30000,2975,
West Chester,PA,1930,13000,4132.68,
Wilkes Barre and Wyoming Valley,PA,1930,255000,59000,
Williamsport,PA,1930,50000,4191.59,
Wilmerding,PA,1930,8000,1946.98,
York,PA,1930,65000,9396.1,
Youngsville,PA,1930,2000,55,
Knoxville,TN,1930,148000,38400,
Memphis,TN,1930,250000,164325,
Nashville,TN,1930,175000,78896.94,
Amarillo,TX,1930,45000,2000,
Austin,TX,1930,65000,288457.71,5
Beaumont,TX,1930,70000,15224.58,
Cleburne,TX,1930,20000,0,
Dallas,TX,1930,308000,191413.36,
El Paso,TX,1930,112000,0,
Ft. Worth,TX,1930,200000,97564.44,
Galveston,TX,1930,60000,27708.92,
Houston,TX,1930,275000,53877.97,12
Laredo,TX,1930,40000,2400,13
Lubbock,TX,1930,23200,12500,
Panhandle,TX,1930,3500,220,
Paris,TX,1930,18540,0,
Plainview,TX,1930,10400,2250,
Port Arthur,TX,1930,53000,500,18
