"","park","year","total_sq_kilometers","country","state_region_province","closest_city","distance_from_closest_city","geocode_address","lon","lat","geoAddress"
"1","Acadia",1919,"199","United States","Maine","Sherbrooke",381,"Acadia National Park, United States",-68.2733346,44.3385559,"acadia national park, maine, usa"
"2","Arches",1971,"310","United States","Utah","Provo",312,"Arches National Park, United States",-109.5925139,38.733081,"arches national park, utah, usa"
"3","Badlands",1978,"982","United States","South Dakota","Fort Collins",502,"Badlands National Park, United States",-102.3396912,43.8553804,"badlands national park, south dakota, usa"
"4","Big Bend",1944,"3242","United States","Texas","Ciudad Juarez",526,"Big Bend National Park, United States",-103.2501638,29.2499017,"big bend national park, tx 79834, usa"
"5","Biscayne",1980,"700","United States","Florida","Miami",32,"Biscayne National Park, United States",-80.2083103,25.4824229,"biscayne national park, florida, usa"
"6","Black Canyon of the Gunnison",1999,"125","United States","Colorado","Colorado Springs",367,"Black Canyon of the Gunnison National Park, United States",-107.7415961,38.5753936,"black canyon of the gunnison national park, colorado, usa"
"7","Bryce Canyon",1928,"145","United States","Utah","Provo",335,"Bryce Canyon National Park, United States",-112.1870895,37.5930377,"bryce canyon national park, utah, usa"
"8","Canyonlands",1964,"1366","United States","Utah","Provo",322,"Canyonlands National Park, United States",-109.9025345,38.2135733,"canyonlands national park, utah, usa"
"9","Capitol Reef",1971,"979","United States","Utah","Provo",280,"Capitol Reef National Park, United States",-111.1354983,38.0877312,"capitol reef national park, utah, usa"
"10","Carlsbad Caverns",1930,"189","United States","New Mexico","El Paso",240,"Carlsbad Caverns National Park, United States",-104.5538893,32.1291301,"carlsbad caverns national park, carlsbad, nm 88220, usa"
"11","Channel Islands",1980,"1010","United States","California","Los Angeles",124,"Channel Islands National Park, United States",-119.9913964,33.9681871,"channel islands national park, ventura, ca 93001, usa"
"12","Congaree",2003,"108","United States","South Carolina","Columbia",18,"Congaree National Park, United States",-80.7490486,33.7918719,"congaree national park, 100 national park rd, hopkins, sc 29061, usa"
"13","Crater Lake",1902,"742","United States","Oregon","Eugene",288,"Crater Lake National Park, United States",-122.1279394,42.9294762,"crater lake national park, oregon, usa"
